N	trait_mean	trait_var	age_MY	tsID	age_MY_min	age_MY_max
261	1.20651341	0.069380489	0.49	428	NA	NA
278	1.172302158	0.094428616	0.53	428	NA	NA
284	1.129225352	0.109072189	0.57	428	NA	NA
287	1.099651568	0.092692186	0.61	428	NA	NA
292	1.174657534	0.118324625	0.64	428	NA	NA
200	0.9595	0.05006005	0.67	428	NA	NA
200	0.968	0.038367839	0.71	428	NA	NA
200	1.079	0.039355779	0.74	428	NA	NA
200	0.9225	0.031601759	0.78	428	NA	NA
200	0.95	0.030452261	0.81	428	NA	NA
200	0.988	0.035433166	0.84	428	NA	NA
200	0.9785	0.029535427	0.87	428	NA	NA
200	1.063	0.043046231	0.9	428	NA	NA
200	1.168	0.047513568	0.93	428	NA	NA
200	1.175	0.041683417	0.97	428	NA	NA
200	1.1675	0.043209799	1	428	NA	NA
200	1.2125	0.051752513	1.04	428	NA	NA
200	1.2005	0.052612814	1.1	428	NA	NA
200	1.146	0.056667337	1.15	428	NA	NA
200	1.2525	0.055069095	1.2	428	NA	NA
200	1.159	0.050672362	1.25	428	NA	NA
200	1.198	0.072759799	1.31	428	NA	NA
200	1.174	0.066054271	1.35	428	NA	NA
200	1.2205	0.079125377	1.39	428	NA	NA
200	1.119	0.068682412	1.42	428	NA	NA
200	1.198	0.082910553	1.46	428	NA	NA
200	1.184	0.09280804	1.49	428	NA	NA
200	1.1835	0.080078141	1.52	428	NA	NA
200	1.1905	0.085185678	1.55	428	NA	NA
200	1.178	0.085141709	1.58	428	NA	NA
200	1.162	0.070307538	1.62	428	NA	NA
200	1.197	0.114061307	1.65	428	NA	NA
200	1.2245	0.129999749	1.69	428	NA	NA
200	1.1105	0.112401759	1.72	428	NA	NA
200	1.0745	0.113869095	1.76	428	NA	NA
200	1.417	0.246342714	1.8	428	NA	NA
200	1.4365	0.101525377	1.83	428	NA	NA
200	2.1695	0.072281156	0	427	NA	NA
200	2.2005	0.073316332	0.0700000000000001	427	NA	NA
200	2.1355	0.082301256	0.14	427	NA	NA
200	2.14	0.085326633	0.21	427	NA	NA
200	2.2565	0.139153518	0.28	427	NA	NA
200	2.5245	0.392009799	0.43	427	NA	NA
200	2.7265	0.599947487	0.42	427	NA	NA
270	2.667407407	0.992093625	0.46	427	NA	NA
261	2.675478927	0.999627174	0.49	427	NA	NA
278	2.674460432	1.307973535	0.53	427	NA	NA
284	2.458802817	1.061300328	0.57	427	NA	NA
287	2.636933798	1.584505251	0.61	427	NA	NA
292	2.662328767	1.398026173	0.64	427	NA	NA
200	1.792	0.225262312	0.67	427	NA	NA
200	1.976	0.326255276	0.71	427	NA	NA
200	2.0285	0.097022864	0.74	427	NA	NA
200	1.7985	0.127284171	0.78	427	NA	NA
200	1.8635	0.094490201	0.81	427	NA	NA
